Argumentation Scheme,Count,Percentage (%)
ad hominem,554,39.24%
practical reasoning,184,13.03%
slippery slope,154,10.91%
popular practice,122,8.64%
popular opinion,90,6.37%
established rule,86,6.09%
threat,58,4.11%
appeal to expert opinion / authority,57,4.04%
verbal classification,29,2.05%
inconsistent commitment,18,1.27%
argument from analogy / similarity,12,0.85%
appeal to consequences,10,0.71%
position to know,9,0.64%
waste,6,0.42%
appeal to emotion,6,0.42%
appeal to ignorance,5,0.35%
sunk costs,5,0.35%
emotive appeal,4,0.28%
cause to effect,2,0.14%
none of the above,1,0.07%
